MC_signal,MC_bkg,Signal_Yield,Signal_Yield_Error
2,290,24.049957856000372,6.867110772139964
2,290,24.481483708088295,6.865972532434587
2,290,24.281458121684953,6.8784023999184045
2,290,22.495535687422212,6.761180761169999
2,290,23.932515977905762,6.894126760870257
2,290,23.748189422857333,6.905622803167683
2,290,24.161908269558097,6.880576493808852
2,290,22.518044602377717,6.843094775990709
2,290,22.80720820990176,6.775194749690095
2,290,24.42456242101013,6.865368998348513
2,290,24.610997987135537,6.855973788064226
2,290,23.190939983705373,6.8543449265516205
2,290,23.60682245267413,6.8464157855221215
2,290,23.04682051254308,6.767442005942174
2,290,24.326562672261662,6.878609077992403
2,290,23.264160189153042,6.830427058768226
2,290,22.083330507816246,6.763461268161805
2,290,24.673042484406558,6.853576430197531
2,290,21.713579200950118,6.698533977640713
2,290,24.194783313815538,6.87221364347257
2,290,21.53400430023596,6.686467639867365
2,290,24.578893228880144,6.859002347932632
2,290,24.58545242047491,6.858496726693533
2,290,23.42419710443584,6.847499581038832
2,290,24.13160610944948,6.87444596675463
2,290,24.334005202571007,6.8754919214277335
2,290,24.649155741816408,6.8547242214275865
2,290,23.976912734364642,6.889123736694642
2,290,22.219504598837958,6.763820978034495
2,290,24.64165569791271,6.854830690068891
2,290,24.046652262938746,6.882276752605849
2,290,23.446397706632254,6.8793262283647945
2,290,23.387435634775233,6.912246894530876
2,290,24.2210735024844,6.880137618071597
2,290,22.544104922693634,6.7830925944217215
2,290,23.311046901820134,6.85046896398852
2,290,24.08410232471943,6.888265826478181
2,290,24.081711884786728,6.874717191225231
2,290,23.084120240955375,6.764519441589404
2,290,23.55966888578551,6.853316334024809
2,290,23.757523303586016,6.873211380650924
2,290,23.880119407821176,6.858783912469148
2,290,24.260178882239412,6.8808645531130725
2,290,23.238730967138572,6.80735860121804
2,290,23.493891012340683,6.834947399178667
2,290,24.034345366127344,6.89999066042938
2,290,24.27009975764873,6.8809260102468865
2,290,24.04875534664184,6.88834293617186
2,290,24.366178784544694,6.8681638157071205
2,290,23.775839935667662,6.878452549886572
2,290,23.650856472546515,6.853412274177762
2,290,23.51817496403184,6.906452695421739
2,290,21.9889969591077,6.75960594747548
2,290,23.61218144011566,6.851137585694414
2,290,23.793620948298983,6.860126921589871
2,290,24.46132078651461,6.866022334163365
2,290,23.301211473293414,6.8458015938917
2,290,24.477468910286515,6.866993929627133
2,290,24.54175653456259,6.864494644583065
2,290,23.302426354683877,6.897826950968614
2,290,22.383640586176057,6.813298110746173
2,290,23.709207895363207,6.862297133157025
2,290,23.30630928203006,6.767144915975903
2,290,24.68594968494619,6.852312000916164
2,290,24.22876497594133,6.876953412510984
2,290,24.605838262565776,6.859096265347105
2,290,24.57043896273543,6.8608127229073155
2,290,23.361694626270076,6.806762256471629
2,290,24.439326545276174,6.8653581336177965
2,290,24.50191808746643,6.859762087203289
2,290,24.299905661409483,6.874079710790964
2,290,22.05335032076061,6.757399791900586
2,290,24.04305730503493,6.867852437974054
2,290,24.361983200797276,6.8618775368977865
2,290,23.837856361156014,6.8756851146818825
2,290,23.920416455833248,6.9000767942782675
2,290,24.56210829216324,6.861579167888227
2,290,23.892066534837028,6.883179985241255
2,290,23.697419226256606,6.878234909688025
2,290,24.674498583472555,6.851727981506078
2,290,24.22343443700935,6.882570252127919
2,290,21.93162778784,6.723882350802478
2,290,24.212461446055805,6.8751429843908864
2,290,24.330564513645147,6.8805654827459275
2,290,23.32970199579436,6.834420654111353
2,290,22.827460679315415,6.845674591402037
2,290,23.92119270304692,6.886225335634158
2,290,21.493440066921835,6.670003688431052
2,290,23.286881549235673,6.78859324080556
2,290,22.496509512708208,6.848558667658265
2,290,24.3204487887072,6.875929689495942
2,290,22.038560647000942,6.780122337939877
2,290,24.238667016120388,6.884637307553412
2,290,24.417783119798646,6.872134218477012
