MC_signal,MC_bkg,Signal_Yield,Signal_Yield_Error
50,1020,89.13444626923841,14.9095563260294
50,1020,87.88125905804812,14.906629312917179
50,1020,90.09325114276533,14.838458627859275
50,1020,103.75562282234146,15.192883269767695
50,1020,98.77690766465872,15.148662823857958
50,1020,94.61706129197238,15.053044954522207
50,1020,88.33639675606719,14.910554976076597
50,1020,94.37710238590839,14.977705831798016
50,1020,89.28710391801425,14.782666342678727
50,1020,86.86574146129193,14.703404096977364
50,1020,95.26747138868757,15.226458636980363
50,1020,92.02190730503546,14.973446444988316
50,1020,95.36851596198538,14.998567687563275
50,1020,94.42543218502465,14.907435941626124
50,1020,99.1354640248355,15.091142784580777
50,1020,89.56766252073949,14.969176235960422
50,1020,89.48280465227195,14.984691598771978
50,1020,102.8758378496906,15.211761130578173
50,1020,100.79893539325357,15.138770117803725
50,1020,96.8650717826783,15.108717619144295
50,1020,93.00961791287233,15.009938795190243
50,1020,91.08070948793286,15.087946123161174
50,1020,91.9585038177328,15.113997743284049
50,1020,92.50366373716285,14.984076437668513
50,1020,97.75609073357407,15.205499599997534
50,1020,89.12447284548178,14.999898716237645
50,1020,96.98134086476686,14.986051918978575
50,1020,85.97840022805921,14.900431119210431
50,1020,88.3980441779092,14.966324795622153
50,1020,100.21835299723334,15.244552082965313
50,1020,98.50897896770032,15.1745378544225
50,1020,92.38371430951275,14.95209798351012
50,1020,103.36352186100838,15.13759428984457
50,1020,98.37509701093613,15.317003868620315
50,1020,90.82185780224633,14.965531640195545
50,1020,99.57205468280077,15.176998636598604
50,1020,89.00460137449728,15.053923212636612
50,1020,93.67888564105294,14.970785989651892
50,1020,101.15775415164991,15.28367816285325
50,1020,97.14143138824184,15.045921861254019
50,1020,97.10593154645846,15.06510945237095
50,1020,95.80255059401341,15.132604490373616
50,1020,89.18592339037123,14.999165809247053
50,1020,97.27526768550332,15.17906751292277
50,1020,98.71226034811899,15.126216462502494
50,1020,92.20557381022705,14.835124607557134
50,1020,95.23814460689931,15.08485436672667
