q2reg,MC_signal,mu,mu_error
"(0.1, 4.0)",0.0,22.338318185348957,7.585357330299016
"(4.0, 8.0)",0.0,32.34158606734294,8.949199486092285
"(10.087, 12.859)",0.0,22.407238712877255,8.96550548842095
"(14.349, 18.993)",0.0,37.85612361063857,12.253913712605867
