q2reg,MC_signal,mu,mu_error,sigma,sigma_error
"(0.1, 4.0)",200.0,226.6598065373573,4.443147030899641,4.343514827579752,2.691836934707576
"(4.0, 8.0)",200.0,235.41108097928398,5.22875363145453,4.969152716507747,3.1551779987162596
"(10.087, 12.859)",200.0,226.35338444225513,6.446361450778287,5.728156432603652,4.244018475504788
"(14.349, 18.993)",200.0,241.58378064641536,8.071935629731138,6.7859541310034155,4.628175035115933
