MC_signal,MC_bkg,Signal_Yield,Signal_Yield_Error
200,955,251.44400928162864,23.90623924623123
200,955,225.96179621081288,23.77567305768608
200,955,234.4860475593429,23.775578912141874
200,955,236.37521185007878,23.81919570931767
200,955,246.78051196795587,23.901096834694744
200,955,232.80977147921462,23.49044466805663
200,955,227.00614510305036,23.849691442713322
200,955,239.32493025291572,23.932344939900133
200,955,226.73277599357658,23.30657398388047
200,955,237.56224841649134,23.483522953348636
200,955,242.50482063678209,23.785230471355284
200,955,234.66661984598713,23.903822852631045
200,955,226.7785674097065,23.889777207074914
200,955,238.9215217107211,23.780779851840503
200,955,229.60825556818767,23.55269832513545
200,955,231.8741698355227,23.764282188251112
200,955,242.70440374035235,23.687001473298864
200,955,228.36964219270507,23.624138787670397
200,955,228.59958273180038,23.76113584502422
200,955,229.132902468255,23.975340809243214
200,955,236.11131970932334,23.941700337120082
200,955,244.884252449334,23.968400916304155
200,955,237.24838696063168,23.781983539211435
200,955,250.4056414464315,23.784401709671144
200,955,237.3818077208532,23.746115923674267
200,955,235.21362857790905,23.770168541753655
200,955,244.47286104324616,23.792870185009363
200,955,228.6910020231062,23.692984339330657
200,955,233.19832766196404,23.93030019720367
200,955,246.08687473097564,23.756382462348
200,955,249.0697668586214,23.848150770676714
200,955,234.56716991568553,23.976090382293464
200,955,230.90201585070898,23.752969450390722
200,955,243.60653285581293,23.840736150082883
200,955,229.16459161233428,23.84346039879666
200,955,236.98259843765047,23.814023270610154
200,955,239.50614770342702,24.080178121762636
200,955,234.1839803165369,23.713856537317064
200,955,243.6057311795569,23.70977475498963
200,955,242.4321263214352,23.708385907257963
200,955,243.1847043490511,23.795428471460127
200,955,231.48659051925932,23.964111061843553
200,955,231.10501987935996,23.649235261689764
200,955,243.26887516790438,23.774359826179072
200,955,247.24787365606824,23.686654986963326
200,955,237.0353341704661,23.735164937634643
200,955,239.35044044916825,23.733565533466738
200,955,227.64179433788672,23.9463912676772
200,955,234.12034709302776,23.533794885863458
200,955,246.34123478948186,23.540613731078665
200,955,241.83811500428044,23.863922915776087
200,955,235.63115774884236,23.789732451385852
200,955,235.25707365588718,23.656757028397536
200,955,251.6276151780702,23.909497530079875
200,955,231.55956906324474,23.53840023382714
200,955,227.73633380385382,23.64681707452577
200,955,241.35089713214288,23.746012812281762
200,955,243.3373438783772,23.71796889054071
200,955,232.5622163568151,23.775422950566814
200,955,244.34421080468056,23.634324434571845
200,955,239.62934999617832,23.75986519043141
200,955,232.35687868590045,23.885582279218102
200,955,229.97386563132318,23.674509417176303
200,955,230.52579684106524,23.91168550144646
200,955,244.5602893539669,23.76449882262996
200,955,229.5306069378796,23.61226933242537
200,955,244.2711512418778,23.904033926164903
200,955,227.4294343362315,23.758243436434224
200,955,233.98212659682207,23.709415849987682
200,955,244.2712067587119,23.865157455434215
200,955,248.7347975260797,23.82713796302353
200,955,229.73636167187757,24.059083201310067
200,955,241.5460946977695,23.644644126087158
200,955,240.2291478573968,23.664411043045817
200,955,252.965932066555,23.713423251769193
200,955,243.52981201718052,23.89754390842119
200,955,238.0095624426138,23.85068415451424
200,955,241.56790075390316,23.689473106377122
200,955,252.3877251260473,23.87611384187221
200,955,242.33068131543692,23.804083560753767
200,955,242.24418003819036,23.843916207708002
200,955,234.14344977044274,23.747528372047043
200,955,252.26358866917812,23.83426871866088
200,955,231.42991663065973,23.822198918739254
200,955,230.65929417165825,23.83673122450541
200,955,233.97377940485433,23.729271792570035
200,955,230.62468201558823,23.86649180378634
200,955,240.35208900796042,24.094238890651077
200,955,236.59524499948677,23.787580150293753
200,955,255.76804075546767,23.913209574247922
200,955,241.8438651393417,23.841712230254863
200,955,236.9876856853399,23.99479099483827
200,955,235.26263179675547,23.669325625504612
200,955,234.47467082957905,23.87114638305786
200,955,252.47401521477184,23.817559625010084
200,955,220.84589765160396,23.42750493199612
200,955,238.26308079348323,23.599191742440293
200,955,247.95235472559526,23.546655952068736
200,955,231.09589917489103,23.742798654130908
200,955,229.28690264094544,23.8037034806205
200,955,227.19824721952,23.907741891400228
200,955,232.33260604852904,23.743599558204615
200,955,234.10940123493242,23.885907211927698
200,955,231.30346801882445,23.859094029373495
200,955,240.0128176968709,23.59760317701733
200,955,248.31396183061074,23.67465605917546
200,955,241.9154474109667,23.918721421177324
200,955,257.8372721434485,23.955740803870214
200,955,254.05955017566586,23.986829028426627
200,955,238.06857281275435,23.635284905771428
200,955,240.54525393124482,23.90370763534466
200,955,236.5822909563759,23.625132256012446
200,955,229.19633681612237,23.621461442425232
200,955,235.66078767438293,23.758902251073053
200,955,225.0812003125563,23.833338789807073
200,955,223.42668162260722,23.75812310041457
200,955,228.83303883716195,23.748569243228832
200,955,255.1904899661509,23.78209583901148
200,955,234.605592340455,23.88563412298087
200,955,236.46313741865916,23.837034501102366
200,955,243.04810004771517,23.78425762388774
200,955,233.7195427277243,23.622695502538825
200,955,245.9996917209926,23.714776658562542
200,955,254.76513220169696,23.92137474932156
200,955,235.2532133804819,23.67436538480417
200,955,224.3677623146358,23.61278980246179
200,955,226.15131618398087,23.688142126979738
200,955,246.31616041196807,23.88864627317972
200,955,240.90513865695263,23.79464953912499
200,955,247.61070005043777,23.69861286790809
200,955,240.15582942863472,23.83966357336486
200,955,226.48980252937372,23.55776468303088
200,955,227.85144102724098,23.732467112096806
200,955,229.2590321767577,23.865158092574777
200,955,236.9624348672092,23.77080505093538
200,955,228.0199241920786,23.779373938076617
200,955,252.04247824714474,23.901438930121174
200,955,247.02802025354285,23.792843454385505
200,955,240.38739538008687,23.82212881706441
200,955,221.12927752895254,23.743001332271767
200,955,242.08427693664123,23.750986127205515
200,955,245.29351893683256,24.0470784162071
200,955,240.91780105258889,23.80359884051317
200,955,240.02686149060216,23.84765333254971
200,955,238.12444369919166,23.740225556897983
200,955,229.37791603936796,23.745878949764695
200,955,240.60376073558388,23.8739702157863
200,955,241.3418594010166,23.965913169860144
200,955,229.68445243731338,23.74566095009932
200,955,236.83383711185706,23.79410472483115
200,955,242.21943858596637,23.815934263196816
200,955,240.66526731208285,24.057163044374814
200,955,240.95778555082467,23.767870778289176
200,955,247.95777672568138,23.82672154313788
200,955,235.54985190153073,23.76293120576872
200,955,231.90332973831732,23.82278230374866
200,955,242.03581613586067,23.78775851283652
200,955,237.63391684058743,23.78624557001064
200,955,233.81172208279634,23.844767957306324
200,955,235.73304556154807,23.774730158022543
200,955,228.43130086178635,23.824628663844486
200,955,230.61059110108684,23.641507645491373
200,955,236.38384284410202,23.565829594259753
200,955,228.9522308066401,23.539300864654436
200,955,245.04087057478026,23.565635044024223
200,955,226.36909965938486,23.69311807007297
200,955,237.2867622445658,23.673552192384292
200,955,236.61684224672575,23.79011180679405
200,955,251.82319148929363,23.820680980070406
200,955,246.55506758753737,23.857744768447677
200,955,238.24813715439493,23.888042353301195
200,955,238.88395055132477,23.75633164244165
200,955,241.87792426996873,23.758738726605266
200,955,243.83340375321802,23.711156869170768
200,955,236.27052038026332,23.8175451804713
200,955,244.05140366210478,23.7310197126199
200,955,230.2263802739316,23.8949424006476
200,955,241.59420591428204,23.84795908520227
200,955,242.53978069214915,24.104222376171478
200,955,239.7225341259659,23.91650669143354
200,955,228.64902739129067,23.792963511459075
200,955,229.01963453587624,23.694471206246646
200,955,237.0721440683874,23.88344360295903
200,955,242.6524051568491,23.685325199743286
200,955,245.6568857384598,23.79496913072202
200,955,242.66929709779222,23.78349682856974
200,955,252.50211224405507,23.7555127233678
200,955,249.487607346094,23.842953881446903
200,955,251.08906501110465,23.802502773814226
200,955,241.49178693726714,23.834519128906308
200,955,236.72586422423385,23.774403283780565
200,955,228.15003656088973,23.575369384171523
200,955,235.51957096282732,23.866535801695925
200,955,243.57419708547653,23.89566961379085
200,955,240.28876308667833,23.96363118128201
200,955,230.5854038210823,23.7318655030576
200,955,229.74140609229357,23.840219618475388
200,955,249.24388618831298,23.647497443277096
200,955,248.66666249039673,23.98491111334595
200,955,233.99824705166887,23.664056958593804
200,955,235.74893984283005,23.592813517680717
200,955,238.09086566371286,23.784421790705743
200,955,238.21338887481696,23.634048280730553
200,955,231.6682282156281,23.652929459727574
200,955,237.2598164372997,23.926086236783934
200,955,242.85512307130358,23.769612079568958
200,955,233.75008164450486,23.714490130575996
200,955,245.74751658643922,23.821277897201675
200,955,233.64812955902667,23.70273200075663
200,955,234.0079092846489,23.80902583223256
200,955,241.9464705324529,23.822966520923806
200,955,237.437664487354,23.80584917932778
200,955,220.85671743688815,23.825633518453678
200,955,239.14819432638126,23.53136361421351
200,955,236.82783832345126,23.743964478910662
200,955,234.50235315628808,24.268557138083054
200,955,249.01403888591759,23.97864773557398
200,955,244.6982130438232,23.849436403658828
200,955,243.8379845977,23.76820656747782
200,955,230.1290048312147,23.645162577412187
200,955,233.94601247290456,23.768886393338562
200,955,241.14774892847066,23.808226377148685
200,955,232.84413387633407,23.706107373131893
200,955,257.07076644524557,23.85758727864952
200,955,229.19161456873408,23.72965860940206
200,955,245.46980816875742,23.81003686762369
200,955,234.1952441160185,23.46142623374343
200,955,239.50663349455803,23.852665289767216
200,955,240.04046582789505,23.808354824194964
200,955,246.264039883442,23.853865388299454
200,955,235.4001491991761,23.720697397064946
200,955,233.2396866825152,23.732841863628693
200,955,219.8179033355031,23.658008558001466
200,955,246.9934374132837,23.82313249325169
200,955,245.89714116409795,23.735482587048537
200,955,242.84935653850118,23.63886473414752
200,955,237.5251803812249,23.62822529881739
200,955,248.20687060828098,24.051265130514878
200,955,236.6495022747101,23.759342149301002
200,955,223.70949267718981,23.83746493839522
200,955,239.19838015546927,23.79654646611033
200,955,227.0042278359388,23.899598635192945
200,955,240.25229640063563,23.723933298460615
200,955,232.61525542027468,23.833033802946183
200,955,242.12967323558436,23.852584508239687
200,955,245.13804640547116,23.57930930748224
200,955,242.25242481704296,23.88302872544378
200,955,225.4585493546704,23.832239851379356
200,955,241.69916908077266,23.76506085386467
200,955,240.530236725072,23.859663382890083
200,955,247.27086555733248,23.975234291116664
200,955,244.9225688212121,23.870257560772245
200,955,230.33410159715316,23.934790623762474
200,955,255.93314949872433,23.962045284411012
200,955,240.20124907208967,23.67596805923492
200,955,240.40976561341577,23.94885163676595
200,955,233.29600772288364,23.720781803425847
200,955,234.21976685556103,23.883893361085036
200,955,241.02754839843683,23.958198552959303
200,955,244.26176144340295,24.00057616734979
200,955,245.02347341279875,23.900721473796295
200,955,247.31945788601323,23.713923206422123
200,955,219.92104067212048,23.81156173475891
200,955,251.96752287117076,23.755289681968755
200,955,242.19043370428773,23.75333163968743
200,955,235.89695787213702,23.689378691668583
200,955,242.7861404908671,24.095306357859876
200,955,240.73606755520643,23.866983419673865
200,955,237.00376559520026,23.822128568244842
200,955,243.85234751996808,23.70854180245724
200,955,230.76965609347775,23.884548576675904
200,955,233.76289368549334,23.84401375540663
200,955,240.76476225500073,23.922010671854846
200,955,228.65567021190728,23.735595981666286
200,955,241.63687968650842,23.891776373973748
200,955,242.2707366384233,23.683023757252407
200,955,244.21109779388698,23.705402347238056
200,955,249.89625165670634,23.674661042892303
200,955,242.68324449538454,23.837739618499217
200,955,228.10563208352912,23.855956404771057
200,955,244.939454905992,23.869050393237046
200,955,230.055347672096,23.70349085857444
200,955,247.16703562204637,23.931598335110795
200,955,240.95994963931784,23.83413327839023
200,955,234.13371572220683,23.891812722643326
200,955,250.9663372024066,23.73591068889047
200,955,239.15949289458402,23.73823343378211
200,955,233.5784990649304,23.853715497237296
200,955,230.94540192056647,23.738933512748098
200,955,261.2604579074553,23.890632551828368
200,955,239.74844736940082,23.581650886629497
200,955,239.96103045986754,23.69356646409
200,955,236.6070984579559,23.624871801920037
200,955,239.66677585883286,23.830243054109197
200,955,244.56053827838474,23.87088767827475
200,955,236.64963814077626,23.791414157562528
200,955,238.0452340277374,23.932591873948414
200,955,240.6020170718209,23.86802063544113
200,955,233.22259435419554,23.77207130521611
200,955,231.60817733765325,23.77133334088829
