MC_signal,MC_bkg,Signal_Yield,Signal_Yield_Error
2,410,6.425095508475788,4.217166750310863
2,410,4.750648629173042,3.792949175352786
2,410,7.456663800973913,4.2314681674002195
2,410,7.040253117563584,4.177027797459562
2,410,5.171585037558925,3.9586567789680096
2,410,6.7700904325716245,4.144501485531902
2,410,5.346422087375887,3.9967026931332446
2,410,5.820087028521153,4.109761373971509
2,410,7.180236970072484,4.236905497561482
2,410,4.74014187976864,3.805577897240901
2,410,7.0540163050845806,4.2385903573221775
2,410,5.61127672299304,4.060026885390033
2,410,5.373612327024338,3.9872861844354026
2,410,5.173112773141047,3.973500890155866
2,410,5.868526284388703,4.105099012516575
2,410,7.720290051725334,4.233594447792173
2,410,5.715031583874961,4.119207815440111
2,410,5.431863957594055,4.003961299760684
2,410,5.1228362406073895,3.918613737337868
2,410,6.517419930300436,4.027841330776511
2,410,5.825589746932944,4.09725044182465
2,410,8.103111327821429,4.211901136671678
2,410,5.056067360863808,3.9468660106291695
2,410,4.866248506251024,3.881839496902897
2,410,4.934490422350646,3.8890361467773293
2,410,4.808924743946174,3.8450087443983776
2,410,6.627769545630838,4.172759626257724
2,410,6.444758318030636,4.009942683926816
2,410,4.8076444068374755,3.8770597835895186
2,410,6.1235562855698245,4.176040489990232
2,410,6.048342005451045,4.144023877932947
2,410,6.186570638440295,4.059746303952836
2,410,5.080904397587067,3.929159711911617
2,410,5.1971176544787845,3.9887157430851685
2,410,6.081749291511667,4.046145739983265
2,410,5.4648754247001925,4.053449024661157
2,410,6.471986898481196,4.101129181807546
2,410,6.3427109456796655,4.182459708805878
2,410,7.5434699853629565,4.23024341758218
2,410,5.82837770245597,4.0652199750601286
2,410,7.4707084961643675,4.2102701728065455
2,410,7.117522032832622,4.179816145859753
2,410,6.24221362888221,4.204709282396279
2,410,6.611054026970221,4.092411950172719
2,410,7.215789831257656,4.177167065223571
2,410,7.4479455633278935,4.251103429688113
2,410,7.092126993472502,4.2503634947810145
2,410,5.022048348285254,3.9146435501358914
2,410,6.165946266805824,4.171994958213867
2,410,7.379552235622836,4.242811375693469
2,410,5.961751993734957,4.108700143183824
2,410,6.3035017935968165,4.083213902562574
2,410,8.122001904088108,4.209266905714356
2,410,5.881598052921764,4.038525193143153
2,410,4.976201886102004,3.921154455847363
2,410,6.5640630366692525,4.061055801296729
2,410,5.455969045066357,4.04275635945718
2,410,4.834330665794008,3.860154311968263
2,410,5.768002063296493,4.064932418737455
2,410,5.233446608807019,3.9783697309022985
2,410,5.493422886238873,3.999887571806097
2,410,6.349734531960525,4.044068339262327
2,410,6.742133955489435,4.140896848141755
2,410,6.835785508221945,4.187907009228969
2,410,4.808849224757022,3.828168647264919
2,410,5.723107848621137,4.058404414354483
2,410,5.256868753309024,3.989989729464952
2,410,7.373572506017781,4.25497584906371
2,410,7.236871874685151,4.254625376132604
2,410,5.056067360590182,3.9468660106253495
2,410,5.571303143378667,4.092267116096865
2,410,5.6082335589785295,4.007328692650972
2,410,6.310491463235291,4.137675545066788
2,410,6.384119654721586,4.202148186849104
2,410,6.992623618234594,4.243835359235815
2,410,6.333902354432375,4.204756010232681
2,410,5.225903514529966,4.014205004426056
2,410,6.026689899472096,4.034159142865178
2,410,5.858278458094289,4.036601361111291
2,410,5.891784409875689,4.0912430619919515
2,410,6.878749435834087,4.158543459031387
2,410,5.003345029634881,3.931812568712971
2,410,6.956392513579502,4.224222992767242
2,410,7.074300951132078,4.2592624160742965
2,410,6.5104683240950445,4.000250095914592
2,410,5.259535298670126,3.9598461954834985
2,410,5.760804903505258,4.111126796425808
2,410,5.352845825917399,3.9650614890088622
2,410,6.600358809428438,4.151294919779701
2,410,7.084846596834356,4.241875105581259
2,410,5.33374841216741,4.0040552605412305
2,410,6.845050269961754,4.1981789814409165
2,410,5.460861675410683,4.019447806926494
2,410,5.45284240364869,4.068037741294387
2,410,7.0349378165263285,4.247316683929404
2,410,6.9380801502682345,4.251473456242388
2,410,5.740098065074048,4.061868772215071
2,410,5.0141530879230505,3.938107226304348
2,410,7.0803303328341345,4.246265715930763
2,410,5.96615003986099,4.113852871206729
2,410,6.5874906185084,4.067696453209459
2,410,6.4207657065240245,4.2055417982917405
2,410,5.932282880287287,4.078728850981486
2,410,6.469577284093564,4.062457826093243
2,410,5.090655491407282,3.9356642238442
2,410,6.422635095345821,4.020218380178172
2,410,6.669086245392196,4.070081280032788
2,410,7.134240193575719,4.2063104048555635
2,410,7.833024273909436,4.2282878041213685
2,410,4.99907889026119,3.9281682341922224
2,410,7.695065040270794,4.2367241028993465
2,410,6.734943593808999,4.23116877556075
2,410,4.984854342307932,3.8825415860408077
2,410,6.0195669396584135,4.147100828785388
2,410,5.3031659564205995,3.993616845703921
2,410,6.797147411641372,4.239745837969588
2,410,5.1404351969368305,3.92836297606278
2,410,6.0556243541083425,4.108321073507604
2,410,7.90008900721857,4.219306724035829
2,410,7.557863562412413,4.233659473445396
2,410,4.988567969844152,3.879538534007932
2,410,5.506241911869795,3.9840651323583094
2,410,7.106318202559595,4.179944745713886
2,410,5.747111012049049,4.0417244378437704
2,410,6.420411309706787,4.013920079757994
2,410,5.310319241243308,3.9964371170696564
2,410,6.467414277120396,4.1083299420494335
2,410,7.577691886861569,4.227149325198811
2,410,6.425681951383838,4.180345352330836
2,410,6.689717502114914,4.1308173915701545
2,410,5.6810770267217725,4.047261420974875
2,410,6.633418965151621,4.073527519702713
2,410,6.98344246498628,4.198043062974433
2,410,6.676750747674955,4.20571337516865
2,410,6.6798264354817025,4.147767646873472
2,410,7.052199664431119,4.2297081299550205
2,410,5.8810985445559245,4.13393044855901
2,410,6.435503412875373,4.020037841755729
2,410,7.1995472838334456,4.173618358597872
2,410,5.01792092150647,3.919461708352393
2,410,6.567449188622884,4.207390963278739
2,410,5.358341058479638,4.004144008457415
2,410,7.26456668624151,4.191270413932899
2,410,5.754333328828665,4.074790654451432
2,410,4.839744622660873,3.819357107216125
2,410,6.6829309717405305,4.111646839174746
2,410,5.2248737525259665,3.993456222174589
2,410,6.945590131467278,4.2325176111234715
2,410,6.365764932986212,4.202608762729994
2,410,6.817292245278269,4.24536985432021
2,410,6.046807119865519,4.1501606614777575
2,410,6.3462932180882765,4.067408026624731
2,410,6.256782800943954,4.201466390463166
2,410,5.731871293439822,4.108337162519777
2,410,6.832729631023677,4.139698689007383
2,410,5.138789133375582,3.9565216377861994
2,410,6.320934091713305,4.183965424905492
2,410,6.12092222927014,4.16036991139665
2,410,6.584709241498732,4.033297860821035
2,410,5.329622762070204,3.990476662771097
2,410,5.473914916097784,4.007381911657568
2,410,7.283611286504862,4.2171192500757915
2,410,6.350337433421753,4.203593703206819
