q2reg,mu,mu_error,sigma,sigma_error
"(0.1, 4.0)",19.587271068741895,1.011418742632022,2.035535930232013,0.8391180553448729
"(4.0, 8.0)",17.25630749726484,1.3334736593538716,2.4990428456759894,1.165818552170819
"(10.087, 12.052)",6.424770082607315,0.9329814004589119,2.121597614656929,0.9340433686104049
"(14.349, 18.993)",51.288463055305094,3.502420996305843,2.183943602062649,3.779997400204806
